LON,LAT,NAME
18.95777778000,49.17222222000,ACONITUM FIRMUM MORAVICUM
18.95777778000,49.17250000000,ACONITUM FIRMUM MORAVICUM
18.95777778000,49.17277778000,ACONITUM FIRMUM MORAVICUM
18.95777778000,49.17500000000,ACONITUM FIRMUM MORAVICUM
18.95777778000,49.18277778000,ACONITUM FIRMUM MORAVICUM
18.95777778000,49.18916667000,ACONITUM FIRMUM MORAVICUM
18.95777778000,49.19000000000,ACONITUM FIRMUM MORAVICUM
18.96194444000,49.17638889000,ACONITUM FIRMUM MORAVICUM
18.96472222000,49.17777778000,ACONITUM FIRMUM MORAVICUM
18.96500000000,49.17750000000,ACONITUM FIRMUM MORAVICUM
18.96500000000,49.17777778000,ACONITUM FIRMUM MORAVICUM
18.98750000000,49.18333333000,ACONITUM FIRMUM MORAVICUM
18.98833333000,49.17777778000,ACONITUM FIRMUM MORAVICUM
18.98833333000,49.18250000000,ACONITUM FIRMUM MORAVICUM
18.98861111000,49.18305556000,ACONITUM FIRMUM MORAVICUM
18.99250000000,49.18638889000,ACONITUM FIRMUM MORAVICUM
18.99361111000,49.18611111000,ACONITUM FIRMUM MORAVICUM
18.99388889000,49.18305556000,ACONITUM FIRMUM MORAVICUM
18.99416667000,49.18750000000,ACONITUM FIRMUM MORAVICUM
18.99444444000,49.18500000000,ACONITUM FIRMUM MORAVICUM
18.99444444000,49.18750000000,ACONITUM FIRMUM MORAVICUM
18.99472222000,49.18861111000,ACONITUM FIRMUM MORAVICUM
18.99500000000,49.18805556000,ACONITUM FIRMUM MORAVICUM
18.99555556000,49.18583333000,ACONITUM FIRMUM MORAVICUM
18.99555556000,49.18750000000,ACONITUM FIRMUM MORAVICUM
18.99861111000,49.18611111000,ACONITUM FIRMUM MORAVICUM
18.99888889000,49.18611111000,ACONITUM FIRMUM MORAVICUM
19.01500000000,49.19444444000,ACONITUM FIRMUM MORAVICUM
19.01805556000,49.19388889000,ACONITUM FIRMUM MORAVICUM
19.01861111000,49.19361111000,ACONITUM FIRMUM MORAVICUM
19.02000000000,49.19083333000,ACONITUM FIRMUM MORAVICUM
19.02305556000,49.19000000000,ACONITUM FIRMUM MORAVICUM
19.02444444000,49.18944444000,ACONITUM FIRMUM MORAVICUM
19.02444444000,49.19000000000,ACONITUM FIRMUM MORAVICUM
19.02500000000,49.19027778000,ACONITUM FIRMUM MORAVICUM
19.02888889000,49.18833333000,ACONITUM FIRMUM MORAVICUM
19.03638889000,49.18777778000,ACONITUM FIRMUM MORAVICUM
19.03777778000,49.18861111000,ACONITUM FIRMUM MORAVICUM
19.05305556000,49.18944444000,ACONITUM FIRMUM MORAVICUM
19.05305556000,49.19055556000,ACONITUM FIRMUM MORAVICUM
19.05333333000,49.18944444000,ACONITUM FIRMUM MORAVICUM
19.05361111000,49.19000000000,ACONITUM FIRMUM MORAVICUM
19.06138889000,49.19055556000,ACONITUM FIRMUM MORAVICUM
19.06888889000,49.21250000000,ACONITUM FIRMUM MORAVICUM
19.09888889000,49.23166667000,ACONITUM FIRMUM MORAVICUM
19.09888889000,49.23194444000,ACONITUM FIRMUM MORAVICUM
19.09972222000,49.23305556000,ACONITUM FIRMUM MORAVICUM
19.10027778000,49.23250000000,ACONITUM FIRMUM MORAVICUM
18.46527778000,49.25277778000,CAMPANULA SERRATA
18.82361111000,49.07555556000,CAMPANULA SERRATA
18.82416667000,49.07472222000,CAMPANULA SERRATA
18.84222222000,49.13166667000,CAMPANULA SERRATA
18.91027778000,48.85166667000,CAMPANULA SERRATA
18.91472222000,48.84694444000,CAMPANULA SERRATA
18.93694444000,48.93055556000,CAMPANULA SERRATA
18.94166667000,49.17500000000,CAMPANULA SERRATA
18.95555556000,49.16527778000,CAMPANULA SERRATA
18.95555556000,49.17222222000,CAMPANULA SERRATA
18.95583333000,49.17083333000,CAMPANULA SERRATA
18.95583333000,49.17111111000,CAMPANULA SERRATA
18.95694444000,49.17138889000,CAMPANULA SERRATA
