48.24775,20.76550,Odonata,Sympetrum,striolatum striolatum
48.20857,20.77495,Odonata,Lestes,barbarus
48.20857,20.77495,Odonata,Ischnura,pumilio
48.20857,20.77495,Odonata,Sympetrum,flaveolum flaveolum
48.20857,20.77495,Odonata,Coenagrion,pulchellum interruptum
48.20857,20.77495,Odonata,Coenagrion,puella puella
48.20857,20.77495,Odonata,Platycnemis,pennipes pennipes
48.20857,20.77495,Odonata,Gomphus,vulgatissimus vulgatissimus
48.20857,20.77495,Odonata,Agrion,splendens splendens
48.20857,20.77495,Odonata,Orthetrum,cancellatum cancellatum
48.20857,20.77495,Odonata,Libellula,depressa
48.20857,20.77495,Odonata,Ischnura,elegans pontica
48.20857,20.77495,Odonata,Erythromma,viridulum viridulum
48.20857,20.77495,Odonata,Coenagrion,ornatum
48.20857,20.77495,Odonata,Orthetrum,albistylum albistylum
48.20857,20.77495,Odonata,Chalcolestes,viridis viridis
48.20857,20.77495,Odonata,Sympetrum,sanguineum sanguineum
48.20857,20.77495,Odonata,Lestes,sponsa sponsa
48.20857,20.77495,Odonata,Sympetrum,pedemontanum pedemontanum
48.20857,20.77495,Odonata,Sympetrum,vulgatum vulgatum
48.20857,20.77495,Odonata,Ischnura,elegans pontica
48.20857,20.77495,Odonata,Sympetrum,sanguineum sanguineum
48.20857,20.77495,Odonata,Platycnemis,pennipes pennipes
48.20857,20.77495,Odonata,Sympetrum,vulgatum vulgatum
48.20885,20.77347,Odonata,Anax,imperator imperator
48.20885,20.77347,Odonata,Orthetrum,cancellatum cancellatum
48.22990,20.74038,Odonata,Libellula,depressa
48.22990,20.74038,Odonata,Anax,imperator imperator
48.22990,20.74038,Odonata,Erythromma,najas najas
48.22990,20.74038,Odonata,Erythromma,viridulum viridulum
48.22990,20.74038,Odonata,Coenagrion,pulchellum interruptum
48.22990,20.74038,Odonata,Anax,parthenope parthenope
48.22990,20.74038,Odonata,Anaciaeschna,isosceles isosceles
48.22990,20.74038,Odonata,Gomphus,vulgatissimus vulgatissimus
48.22990,20.74038,Odonata,Orthetrum,albistylum albistylum
48.22990,20.74038,Odonata,Ischnura,elegans pontica
48.22990,20.74038,Odonata,Agrion,splendens splendens
48.22990,20.74038,Odonata,Platycnemis,pennipes pennipes
48.22990,20.74038,Odonata,Aeshna,mixta
48.22990,20.74038,Odonata,Orthetrum,cancellatum cancellatum
48.22990,20.74038,Odonata,Coenagrion,puella puella
48.22990,20.74038,Odonata,Sympecma,fusca
48.22990,20.74038,Odonata,Crocothemis,servilia servilia
48.22990,20.74038,Odonata,Enallagma,cyathigerum cyathigerum
48.22990,20.74038,Odonata,Sympetrum,sanguineum sanguineum
48.27960,20.48855,Odonata,Agrion,splendens splendens
48.27960,20.48855,Odonata,Gomphus,vulgatissimus vulgatissimus
48.31323,20.74843,Odonata,Agrion,splendens splendens
48.31323,20.74843,Odonata,Gomphus,vulgatissimus vulgatissimus
48.31323,20.74843,Odonata,Agrion,virgo virgo
48.31323,20.74843,Odonata,Platycnemis,pennipes pennipes
48.31323,20.74843,Odonata,Sympetrum,striolatum striolatum
48.31312,20.74928,Odonata,Anax,imperator imperator
48.31312,20.74928,Odonata,Platycnemis,pennipes pennipes
48.31312,20.74928,Odonata,Ischnura,elegans pontica
48.31312,20.74928,Odonata,Coenagrion,puella puella
48.31312,20.74928,Odonata,Onychogomphus,forcipatus forcipatus
48.31312,20.74928,Odonata,Agrion,splendens splendens
48.31312,20.74928,Odonata,Gomphus,vulgatissimus vulgatissimus
48.31795,20.75490,Odonata,Onychogomphus,forcipatus forcipatus
48.31795,20.75490,Odonata,Gomphus,vulgatissimus vulgatissimus
48.31795,20.75490,Odonata,Agrion,splendens splendens
48.31795,20.75490,Odonata,Platycnemis,pennipes pennipes
48.32267,20.75553,Odonata,Coenagrion,puella puella
48.32267,20.75553,Odonata,Sympetrum,sanguineum sanguineum
48.36095,20.58005,Odonata,Agrion,splendens splendens
48.36095,20.58005,Odonata,Platycnemis,pennipes pennipes
48.36095,20.58005,Odonata,Libellula,depressa
48.36095,20.58005,Odonata,Coenagrion,puella puella
48.36095,20.58005,Odonata,Coenagrion,ornatum
48.36095,20.58005,Odonata,Agrion,virgo virgo
48.39798,20.63622,Odonata,Orthetrum,cancellatum cancellatum
48.39798,20.63622,Odonata,Enallagma,cyathigerum cyathigerum
48.39798,20.63622,Odonata,Libellula,depressa
48.39798,20.63622,Odonata,Anax,imperator imperator
48.39798,20.63622,Odonata,Platycnemis,pennipes pennipes
48.39798,20.63622,Odonata,Ischnura,elegans pontica
48.40933,20.63252,Odonata,Coenagrion,puella puella
48.40933,20.63252,Odonata,Libellula,depressa
48.40933,20.63252,Odonata,Agrion,splendens splendens
48.40933,20.63252,Odonata,Lestes,barbarus
48.40933,20.63252,Odonata,Ischnura,elegans pontica
48.29102,20.38643,Odonata,Sympetrum,sanguineum sanguineum
48.29102,20.38643,Odonata,Anax,imperator imperator
48.29102,20.38643,Odonata,Ischnura,elegans pontica
48.29102,20.38643,Odonata,Coenagrion,puella puella
48.29102,20.38643,Odonata,Sympetrum,fonscolombii
48.29102,20.38643,Odonata,Orthetrum,albistylum albistylum
48.29102,20.38643,Odonata,Orthetrum,cancellatum cancellatum
48.29102,20.38643,Odonata,Platycnemis,pennipes pennipes
48.29102,20.38643,Odonata,Sympetrum,vulgatum vulgatum
48.56575,20.83645,Odonata,Gomphus,vulgatissimus vulgatissimus
48.56575,20.83645,Odonata,Platycnemis,pennipes pennipes
48.56575,20.83645,Odonata,Agrion,splendens splendens
48.56625,20.84735,Odonata,Chalcolestes,viridis viridis
48.56625,20.84735,Odonata,Somatochlora,aenea aenea
48.56625,20.84735,Odonata,Aeshna,cyanea
48.56625,20.84735,Odonata,Libellula,fulva fulva
48.30060,20.64990,Odonata,Platycnemis,pennipes pennipes
48.30060,20.64990,Odonata,Orthetrum,cancellatum cancellatum
48.30060,20.64990,Odonata,Ischnura,elegans pontica
48.30060,20.64990,Odonata,Coenagrion,puella puella
48.30060,20.64990,Odonata,Erythromma,viridulum viridulum
48.29787,20.64675,Odonata,Coenagrion,puella puella
48.29787,20.64675,Odonata,Libellula,depressa
48.29787,20.64675,Odonata,Agrion,splendens splendens
48.33807,20.56825,Odonata,Agrion,virgo virgo
48.33807,20.56825,Odonata,Agrion,splendens splendens
48.48103,20.56328,Odonata,Agrion,virgo virgo
48.48103,20.56328,Odonata,Agrion,splendens splendens
48.48885,20.52045,Odonata,Ischnura,elegans pontica
48.48885,20.52045,Odonata,Agrion,virgo virgo
48.48885,20.52045,Odonata,Orthetrum,brunneum brunneum
48.48885,20.52045,Odonata,Agrion,splendens splendens
48.48152,20.54538,Odonata,Agrion,virgo virgo
48.48172,20.54547,Odonata,Coenagrion,puella puella
48.48287,20.54447,Odonata,Coenagrion,puella puella
48.49462,20.53938,Odonata,Agrion,virgo virgo
48.49462,20.53938,Odonata,Agrion,splendens splendens
48.46743,20.97510,Odonata,Agrion,splendens splendens
48.46743,20.97510,Odonata,Platycnemis,pennipes pennipes
48.46743,20.97510,Odonata,Coenagrion,pulchellum interruptum
48.29718,20.64267,Odonata,Platycnemis,pennipes pennipes
48.29718,20.64267,Odonata,Gomphus,vulgatissimus vulgatissimus
48.29718,20.64267,Odonata,Agrion,splendens splendens
48.29718,20.64267,Odonata,Orthetrum,cancellatum cancellatum
48.30407,20.64077,Odonata,Agrion,splendens splendens
48.30407,20.64077,Odonata,Libellula,depressa
48.30407,20.64077,Odonata,Erythromma,viridulum viridulum
48.30407,20.64077,Odonata,Orthetrum,cancellatum cancellatum
48.30407,20.64077,Odonata,Anax,imperator imperator
48.30407,20.64077,Odonata,Orthetrum,coerulescens anceps
48.30407,20.64077,Odonata,Ischnura,elegans pontica
48.30407,20.64077,Odonata,Coenagrion,ornatum
48.30407,20.64077,Odonata,Agrion,virgo virgo
48.30407,20.64077,Odonata,Orthetrum,brunneum brunneum
48.30407,20.64077,Odonata,Platycnemis,pennipes pennipes
48.30407,20.64077,Odonata,Gomphus,vulgatissimus vulgatissimus
48.30407,20.64077,Odonata,Coenagrion,puella puella
48.44428,20.79423,Odonata,Anaciaeschna,isosceles isosceles
48.44428,20.79423,Odonata,Agrion,splendens splendens
48.44428,20.79423,Odonata,Aeshna,mixta
48.44428,20.79423,Odonata,Orthetrum,cancellatum cancellatum
48.44428,20.79423,Odonata,Coenagrion,puella puella
48.44428,20.79423,Odonata,Enallagma,cyathigerum cyathigerum
48.44428,20.79423,Odonata,Sympecma,fusca
48.44428,20.79423,Odonata,Cordulia,aeneaturfosa aeneaturfosa
48.44428,20.79423,Odonata,Ischnura,pumilio
48.44428,20.79423,Odonata,Platycnemis,pennipes pennipes
48.44428,20.79423,Odonata,Aeshna,affinis
48.44428,20.79423,Odonata,Libellula,depressa
48.44428,20.79423,Odonata,Ischnura,elegans pontica
48.44428,20.79423,Odonata,Anax,imperator imperator
48.44428,20.79423,Odonata,Sympetrum,striolatum striolatum
48.44428,20.79423,Odonata,Sympetrum,sanguineum sanguineum
48.24910,20.67063,Odonata,Orthetrum,cancellatum cancellatum
48.24910,20.67063,Odonata,Crocothemis,servilia servilia
48.25467,20.68495,Odonata,Crocothemis,servilia servilia
48.25467,20.68495,Odonata,Lestes,dryas
48.25467,20.68495,Odonata,Lestes,barbarus
48.25467,20.68495,Odonata,Orthetrum,albistylum albistylum
48.25467,20.68495,Odonata,Coenagrion,puella puella
48.25467,20.68495,Odonata,Orthetrum,brunneum brunneum
48.25467,20.68495,Odonata,Libellula,depressa
48.25467,20.68495,Odonata,Orthetrum,coerulescens anceps
48.25467,20.68495,Odonata,Lestes,virens vestalis
48.25467,20.68495,Odonata,Anax,imperator imperator
48.25467,20.68495,Odonata,Erythromma,viridulum viridulum
48.25467,20.68495,Odonata,Agrion,splendens splendens
48.25467,20.68495,Odonata,Ischnura,elegans pontica
48.25467,20.68495,Odonata,Sympetrum,sanguineum sanguineum
48.26490,20.66127,Odonata,Anax,imperator imperator
48.26490,20.66127,Odonata,Libellula,fulva fulva
48.26490,20.66127,Odonata,Hemianax,ephippiger
48.26490,20.66127,Odonata,Crocothemis,servilia servilia
48.26490,20.66127,Odonata,Sympetrum,pedemontanum pedemontanum
48.26490,20.66127,Odonata,Orthetrum,cancellatum cancellatum
48.26490,20.66127,Odonata,Libellula,depressa
48.26490,20.66127,Odonata,Erythromma,viridulum viridulum
48.26490,20.66127,Odonata,Platycnemis,pennipes pennipes
48.26490,20.66127,Odonata,Orthetrum,brunneum brunneum
48.26490,20.66127,Odonata,Aeshna,mixta
48.26490,20.66127,Odonata,Coenagrion,pulchellum interruptum
48.26490,20.66127,Odonata,Agrion,splendens splendens
48.26490,20.66127,Odonata,Orthetrum,coerulescens anceps
48.26490,20.66127,Odonata,Coenagrion,puella puella
48.26490,20.66127,Odonata,Ischnura,elegans pontica
48.44428,20.79423,Odonata,Coenagrion,puella puella
48.44428,20.79423,Odonata,Libellula,depressa
48.44428,20.79423,Odonata,Somatochlora,metallica metallica
48.44428,20.79423,Odonata,Agrion,splendens splendens
48.44428,20.79423,Odonata,Lestes,sponsa sponsa
48.44428,20.79423,Odonata,Platycnemis,pennipes pennipes
48.44428,20.79423,Odonata,Coenagrion,ornatum
48.44428,20.79423,Odonata,Agrion,virgo virgo
48.44428,20.79423,Odonata,Aeshna,mixta
48.44428,20.79423,Odonata,Ischnura,elegans pontica
48.44428,20.79423,Odonata,Sympetrum,striolatum striolatum
48.44428,20.79423,Odonata,Sympetrum,sanguineum sanguineum
48.44428,20.79423,Odonata,Sympetrum,vulgatum vulgatum
48.26625,20.68275,Odonata,Agrion,splendens splendens
48.26625,20.68275,Odonata,Platycnemis,pennipes pennipes
48.24910,20.67063,Odonata,Erythromma,viridulum viridulum
48.24910,20.67063,Odonata,Orthetrum,brunneum brunneum
48.24910,20.67063,Odonata,Platycnemis,pennipes pennipes
48.24910,20.67063,Odonata,Orthetrum,albistylum albistylum
48.24910,20.67063,Odonata,Ischnura,elegans pontica
48.24910,20.67063,Odonata,Libellula,depressa
48.24910,20.67063,Odonata,Agrion,splendens splendens
48.24910,20.67063,Odonata,Enallagma,cyathigerum cyathigerum
48.24910,20.67063,Odonata,Coenagrion,puella puella
48.24910,20.67063,Odonata,Anax,imperator imperator
48.26490,20.66127,Odonata,Sympetrum,striolatum striolatum
48.26637,20.67923,Odonata,Sympetrum,pedemontanum pedemontanum
48.26637,20.67923,Odonata,Ischnura,elegans pontica
48.26637,20.67923,Odonata,Sympecma,fusca
48.26637,20.67923,Odonata,Lestes,sponsa sponsa
48.45618,20.69393,Odonata,Agrion,virgo virgo
48.45618,20.69393,Odonata,Coenagrion,puella puella
48.45618,20.69393,Odonata,Libellula,depressa
48.45618,20.69393,Odonata,Ischnura,elegans pontica
48.45618,20.69393,Odonata,Agrion,splendens splendens
48.45618,20.69393,Odonata,Ischnura,pumilio
48.26637,20.67923,Odonata,Orthetrum,brunneum brunneum
48.26637,20.67923,Odonata,Aeshna,mixta
48.26637,20.67923,Odonata,Enallagma,cyathigerum cyathigerum
48.26637,20.67923,Odonata,Chalcolestes,viridis viridis
48.26637,20.67923,Odonata,Sympetrum,striolatum striolatum
48.26637,20.67923,Odonata,Sympetrum,sanguineum sanguineum
48.26637,20.67923,Odonata,Sympetrum,vulgatum vulgatum
48.47103,20.69420,Odonata,Gomphus,vulgatissimus vulgatissimus
48.47103,20.69420,Odonata,Agrion,splendens splendens
48.47103,20.69420,Odonata,Ischnura,elegans pontica
48.47103,20.69420,Odonata,Agrion,virgo virgo
48.47103,20.69420,Odonata,Platycnemis,pennipes pennipes
48.47103,20.69420,Odonata,Sympetrum,sanguineum sanguineum
48.45140,20.67785,Odonata,Chalcolestes,viridis viridis
48.45140,20.67785,Odonata,Pyrrhosoma,nymphula interposita
48.45140,20.67785,Odonata,Coenagrion,puella puella
48.45140,20.67785,Odonata,Agrion,splendens splendens
48.45140,20.67785,Odonata,Sympetrum,striolatum striolatum
48.45320,20.72743,Odonata,Agrion,virgo virgo
48.39968,20.52667,Odonata,Coenagrion,puella puella
48.39968,20.52667,Odonata,Ischnura,elegans pontica
48.45042,20.76052,Odonata,Agrion,splendens splendens
48.45042,20.76052,Odonata,Platycnemis,pennipes pennipes
48.45750,20.81927,Odonata,Aeshna,mixta
48.45750,20.81927,Odonata,Sympetrum,sanguineum sanguineum
48.45750,20.81927,Odonata,Sympetrum,vulgatum vulgatum
48.46628,20.85240,Odonata,Coenagrion,ornatum
48.46628,20.85240,Odonata,Aeshna,affinis
48.46628,20.85240,Odonata,Libellula,depressa
48.46628,20.85240,Odonata,Agrion,virgo virgo
48.46628,20.85240,Odonata,Pyrrhosoma,nymphula interposita
48.46628,20.85240,Odonata,Sympetrum,sanguineum sanguineum
48.45655,20.85783,Odonata,Platycnemis,pennipes pennipes
48.45655,20.85783,Odonata,Gomphus,vulgatissimus vulgatissimus
48.45655,20.85783,Odonata,Agrion,virgo virgo
48.45263,20.83902,Odonata,Somatochlora,aenea aenea
48.45263,20.83902,Odonata,Agrion,virgo virgo
48.45263,20.83902,Odonata,Libellula,depressa
48.45263,20.83902,Odonata,Agrion,splendens splendens
48.45263,20.83902,Odonata,Platycnemis,pennipes pennipes
48.45263,20.83902,Odonata,Sympetrum,striolatum striolatum
48.45263,20.83902,Odonata,Sympetrum,vulgatum vulgatum
48.38753,20.62243,Odonata,Orthetrum,cancellatum cancellatum
48.38753,20.62243,Odonata,Anaciaeschna,isosceles isosceles
48.38753,20.62243,Odonata,Coenagrion,puella puella
48.38753,20.62243,Odonata,Enallagma,cyathigerum cyathigerum
48.38753,20.62243,Odonata,Anax,imperator imperator
48.38753,20.62243,Odonata,Lestes,sponsa sponsa
