LATDEC,LONDEC,GENUS,SPECIES
41.8113888888889,20.4275,Zea,mays
39.8163888888889,20.7330555555556,Hordeum,vulgare
39.5663888888889,21.8330555555556,Hordeum,vulgare
39.5663888888889,21.8330555555556,Hordeum,vulgare
39.85,20.9830555555556,Hordeum,vulgare
39.85,20.9830555555556,Hordeum,vulgare
39.7997222222222,21,Hordeum,vulgare
39.6663888888889,20.8330555555556,Hordeum,vulgare
41.1852777777778,19.5566666666667,Hordeum,vulgare
41.1852777777778,19.5566666666667,Hordeum,vulgare
39.8830555555556,20.7830555555556,Hordeum,vulgare
39.8830555555556,20.7830555555556,Hordeum,vulgare
39.9663888888889,20.95,Hordeum,vulgare
39.09,23.12,Hordeum,vulgare
39.7163888888889,21.0663888888889,Hordeum,vulgare
39.2666666666667,22.8166666666667,Hordeum,vulgare
39.2830555555556,23.2163888888889,Hordeum,vulgare
39.3697222222222,20.3036111111111,Hordeum,vulgare
39.3697222222222,20.3036111111111,Hordeum,vulgare
40.52,21.6830555555556,Hordeum,vulgare
40.52,21.6830555555556,Hordeum,vulgare
39.7830555555556,21,Hordeum,vulgare
39.7830555555556,21,Hordeum,vulgare
39.8997222222222,20.8163888888889,Hordeum,vulgare
39.6663888888889,20.5830555555556,Hordeum,vulgare
39.6663888888889,20.5830555555556,Hordeum,vulgare
40.4330555555556,21.3330555555556,Hordeum,vulgare
40.6497222222222,21.1497222222222,Triticum,aestivum
39.5663888888889,21.8330555555556,Lathyrus,aphaca
39.5663888888889,21.8330555555556,Lathyrus,aphaca
39.5663888888889,21.8330555555556,Vicia,bithynica
39.5663888888889,21.8330555555556,Vicia,villosa
39.5663888888889,21.8330555555556,Vicia,villosa
39.5663888888889,21.8330555555556,Vicia,lutea
39.5663888888889,21.8330555555556,Triticum,aestivum
39.5663888888889,21.8330555555556,Triticum,aestivum
39.5663888888889,21.8330555555556,Triticum,aestivum
39.5663888888889,21.8330555555556,Vicia,cordata
41.8136111111111,20.4622222222222,Zea,mays
39.85,20.9830555555556,Triticum,aestivum
40.1497222222222,19.6330555555556,Triticum,aestivum
40.1497222222222,19.6330555555556,Triticum,aestivum
40.1497222222222,19.6330555555556,Triticum,aestivum
40.1497222222222,19.6330555555556,Triticum,aestivum
40.1497222222222,19.6330555555556,Triticum,durum
40.1497222222222,19.6330555555556,Triticum,aestivum
40.1497222222222,19.6330555555556,Triticum,durum
40.1497222222222,19.6330555555556,Triticum,aestivum
40.1497222222222,19.6330555555556,Triticum,turgidum
40.1497222222222,19.6330555555556,Triticum,aestivum
39.9163888888889,20.85,Lens,culinaris
39.9163888888889,20.85,Lens,culinaris
39.9163888888889,20.85,Lens,culinaris
39.9163888888889,20.85,Lens,culinaris
39.9163888888889,20.85,Lens,culinaris
39.9163888888889,20.85,Lens,culinaris
39.9163888888889,20.85,Lens,culinaris
41.4525,19.5733333333333,Triticum,aestivum
41.4525,19.5733333333333,Hordeum,vulgare
39.6163888888889,22.5330555555556,Triticum,aestivum
39.6163888888889,22.5330555555556,Triticum,aestivum
39.6163888888889,22.5330555555556,Triticum,aestivum
39.6163888888889,22.5330555555556,Triticum,durum
39.6163888888889,22.5330555555556,Triticum,durum
39.6163888888889,22.5330555555556,Triticum,durum
39.6163888888889,22.5330555555556,Triticum,durum
39.6163888888889,22.5330555555556,Triticum,aestivum
39.9591666666667,19.9622222222222,Avena,byzantina
39.9591666666667,19.9622222222222,Triticum,aestivum
39.9591666666667,19.9622222222222,Triticum,aestivum
42.1636111111111,20.6208333333333,Zea,mays
39.09,23.12,Vicia,sativa
40.5163888888889,21.6830555555556,Pisum,sativum
40.5163888888889,21.6830555555556,Pisum,sativum
40.5163888888889,21.6830555555556,Pisum,sativum
42.0675,19.5130555555556,Triticum,aestivum
41,20.4830555555556,Zea,mays
39.3686111111111,20.3036111111111,Pisum,sativum
39.3686111111111,20.3036111111111,Triticum,aestivum
39.3686111111111,20.3036111111111,Triticum,aestivum
40.2830555555556,21.8663888888889,Vicia,sativa
40.2830555555556,21.8663888888889,Vicia,ervilia
40.2830555555556,21.8663888888889,Avena,sativa
40.3663888888889,21.1163888888889,Citrullus,lanatus
40.3663888888889,21.1163888888889,Vicia,cordata
40.3663888888889,21.1163888888889,Vicia,cordata
40.3663888888889,21.1163888888889,Triticum,aestivum
40.3663888888889,21.1163888888889,Triticum,aestivum
40.3663888888889,21.1163888888889,Triticum,aestivum
40.3663888888889,21.1163888888889,Triticum,durum
39.7997222222222,21.3830555555556,Avena,sativa
40.8908333333333,20.6825,Avena,sativa
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
40.3163888888889,20.1830555555556,Triticum,monococcum
