longitude,latitude,genus
20.40625,48.57388,Mesophleps
20.40625,48.57388,Metachrostis
20.40625,48.57388,Metasia
20.06388,48.76402,Miltochrista
20.40625,48.57388,Mimas
20.04838,48.7507,Minoa
20.40625,48.57388,Minoa
20.04838,48.7507,Mirificarma
20.06388,48.76402,Mirificarma
20.40625,48.57388,Mirificarma
20.06388,48.76402,Morophaga
20.06388,48.76402,Mythimna
20.40625,48.57388,Mythimna
20.40625,48.57388,Nephopterix
20.06388,48.76402,Niditinea
20.06388,48.76402,Noctua
20.40625,48.57388,Noctua
20.40625,48.57388,Nothris
20.06388,48.76402,Notocelia
20.40625,48.57388,Notocelia
20.04838,48.7507,Ochropleura
20.40625,48.57388,Ochropleura
20.40625,48.57388,Ocneria
20.06388,48.76402,Oecophora
20.04838,48.7507,Oegoconia
20.06388,48.76402,Oegoconia
20.40625,48.57388,Oegoconia
20.06388,48.76402,Oncocera
20.40625,48.57388,Oncocera
20.06388,48.76402,Orthopygia
20.40625,48.57388,Orthopygia
20.06388,48.76402,Pammene
20.40625,48.57388,Pancalia
20.06388,48.76402,Pandemis
20.03091,48.76847,Papilio
20.05232,48.76292,Papilio
20.05958,48.75941,Papilio
20.06388,48.76402,Paracolax
20.40625,48.57388,Paracolax
20.06388,48.76402,Paradarisa
20.06388,48.76402,Paramesia
20.40625,48.57388,Parornix
20.04838,48.7507,Pempelia
20.06388,48.76402,Pempelia
20.40625,48.57388,Pempelia
20.04838,48.7507,Peribatodes
20.06388,48.76402,Peribatodes
20.01983,48.76266,Perizoma
20.04838,48.7507,Perizoma
20.06388,48.76402,Perizoma
20.40625,48.57388,Perizoma
20.06388,48.76402,Phalonidia
20.40625,48.57388,Phalonidia
20.06388,48.76402,Pheosia
20.40625,48.57388,Pheosia
20.40625,48.57388,Philedone
20.40625,48.57388,Phragmatiphila
20.40625,48.57388,Phycita
20.01983,48.76266,Pieris
20.06388,48.76402,Plagodis
20.06388,48.76402,Plemyria
20.04838,48.7507,Pleuroptya
20.06388,48.76402,Pleuroptya
20.40625,48.57388,Pleuroptya
20.01983,48.76266,Polygonia
20.40625,48.57388,Polymixis
20.01983,48.76266,Polyommatus
20.40625,48.57388,Polyphaenis
20.06388,48.76402,Pseudatemelia
20.04838,48.7507,Pseudeustrotia
20.40625,48.57388,Pseudeustrotia
20.00083,48.71444,Pterophorus
20.06388,48.76402,Ptycholomoides
20.40625,48.57388,Pyralis
20.40625,48.57388,Pyrausta
20.01983,48.76266,Pyrgus
20.40625,48.57388,Pyrrhia
20.04838,48.7507,Sabra
20.40625,48.57388,Schrankia
20.06388,48.76402,Scoparia
20.40625,48.57388,Scopula
20.06388,48.76402,Scotopteryx
20.40625,48.57388,Scotopteryx
20.04838,48.7507,Scythris
20.40625,48.57388,Scythris
20.06388,48.76402,Selagia
20.40625,48.57388,Selagia
20.04838,48.7507,Spatalia
20.40625,48.57388,Spatalia
20.40625,48.57388,Sphinx
20.06388,48.76402,Spilonota
20.40625,48.57388,Stauropus
20.40625,48.57388,Teleiodes
20.06388,48.76402,Teleiopsis
20.40625,48.57388,Tephrina
20.40625,48.57388,Tethea
20.40625,48.57388,Thaumetopoea
20.06388,48.76402,Thiodia
20.06388,48.76402,Thyatira
20.01983,48.76266,Thymelicus
20.40625,48.57388,Trachea
20.06388,48.76402,Trachycera
20.40625,48.57388,Trachycera
20.40625,48.57388,Triphosa
20.40625,48.57388,Tyta
20.06388,48.76402,Udea
20.06388,48.76402,Uresiphita
20.40625,48.57388,Uresiphita
20.06388,48.76402,Watsonalla
20.06388,48.76402,Xanthorhoe
20.06388,48.76402,Xestia
20.40625,48.57388,Xestia
20.06388,48.76402,Yponomeuta
20.04838,48.7507,Ypsolopha
20.06388,48.76402,Ypsolopha
20.40625,48.57388,Ypsolopha
20.40625,48.57388,Zeiraphera
20.40625,48.57388,Zeuzera
20.01983,48.76266,Zygaena
