48.46973333,20.51068333,Poecilus,cupreus
48.46973333,20.51068333,Margarinotus,obscurus
48.46973333,20.51068333,Agonum,marginatum
48.46973333,20.51068333,Harpalus,affinis
48.46973333,20.51068333,Elaphrus,riparius
48.46973333,20.51068333,Bembidion,properans
48.46973333,20.51068333,Heterocerus,fenestratus
48.46973333,20.51068333,Poecilus,versicolor
48.46973333,20.51068333,Coelostoma,orbiculare
48.46973333,20.51068333,Anisodactylus,binotatus
48.46973333,20.51068333,Bembidion,varium
48.46973333,20.51068333,Aphodius,pusillus
48.46973333,20.51068333,Musaria,affinis
48.46973333,20.51068333,Agelastica,alni
48.5215,20.52171667,Calosoma,inquisitor
48.5215,20.52171667,Cicindela,campestris
48.5215,20.52171667,Carabus,coriaceus pseudorugifer
48.5215,20.52171667,Carabus,arcensis carpathus
48.5215,20.52171667,Pterostichus,oblongopunctatus
48.5215,20.52171667,Pterostichus,niger
48.5215,20.52171667,Carabus,convexus convexus
48.5215,20.52171667,Dromaeolus,barnabita
48.5215,20.52171667,Scaphisoma,agaricinum
48.5215,20.52171667,Stomis,pumicatus
48.5215,20.52171667,Carcinops,pumilio
48.5215,20.52171667,Pterostichus,burmeisteri
48.5215,20.52171667,Pterostichus,ovoideus
48.5215,20.52171667,Platynus,assimilis
48.5215,20.52171667,Pterostichus,melanarius
48.5215,20.52171667,Oeceoptoma,thoracica
48.5215,20.52171667,Panagaeus,cruxmajor
48.5215,20.52171667,Abax,parallelepipedus
48.5215,20.52171667,Platyderes,rufus
48.5215,20.52171667,Abax,carinatus
48.5215,20.52171667,Carabus,granulatus
48.5215,20.52171667,Harpalus,latus
48.5215,20.52171667,Carabus,scheidleri pseudopreyssleri
48.5215,20.52171667,Harpalus,rufipes
48.5215,20.52171667,Kibunea,minuta
48.5215,20.52171667,Platysoma,compressum
48.5215,20.52171667,Cidnopus,pilosus
48.5215,20.52171667,Carabus,hortensis hortensis
48.5215,20.52171667,Aptinus,bombarda
48.5215,20.52171667,Nothodes,parvulus
48.5215,20.52171667,Amara,convexior
48.5215,20.52171667,Carabus,intricatus intricatus
48.5215,20.52171667,Carabus,montivagus blandus
48.5215,20.52171667,Anisodactylus,signatus
48.5215,20.52171667,Amara,communis
48.5215,20.52171667,Limonius,quercus
48.5215,20.52171667,Athous,haemorrhoidalis
48.5215,20.52171667,Carabus,nemoralis nemoralis
48.5215,20.52171667,Notiophilus,biguttatus
48.5215,20.52171667,Carabus,violaceus pseudoviolaceus
48.5215,20.52171667,Dromius,spilotus
48.47015,20.51771667,Cephalops,subultimus
48.47015,20.51771667,Tomosvaryella,sylvatica
48.47015,20.51771667,Pterostichus,oblongopunctatus
48.47015,20.51771667,Ptenidium,formicetorum
48.47015,20.51771667,Agathidium,badium
48.47015,20.51771667,Miarus,monticola
48.47015,20.51771667,Gymnetron,tetrum
48.47015,20.51771667,Gymnetron,pascuorum
48.47015,20.51771667,Trichosirocalus,horridus
48.47015,20.51771667,Tychius,trivalis
48.47015,20.51771667,Lixus,angustatus
48.47015,20.51771667,Hypera,suspiciosa
48.47015,20.51771667,Ceutorhynchus,floralis
48.47015,20.51771667,Tanymecus,palliatus
48.53086667,20.60208333,Isomira,murina
48.53086667,20.60208333,Meloe,rugosus
48.53086667,20.60208333,Ishcnomera,sp.
48.53086667,20.60208333,Podonta,nigrita
48.53086667,20.60208333,Gonodera,luperus
48.53086667,20.60208333,Ischnomera,sanguinicollis
48.53086667,20.60208333,Protapion,interjectum
48.53086667,20.60208333,Meligethes,pedicularius
48.47015,20.51771667,Sciaphilus,asperatus
48.47015,20.51771667,Rhynchaenus,populicola
48.47015,20.51771667,Zacladus,geranii
48.47015,20.51771667,Tychius,picirostris
48.47015,20.51771667,Lixus,iridis
48.47015,20.51771667,Sitona,suturalis
48.47015,20.51771667,Lixus,filiformis
